company_id,company_market_id,company_name,is_dead_company,is_fake_company,is_geo_enabled_company,is_shiftgig_company,is_status_company,tenant_id,updated
1397,2,Deborah Miller Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1187,6,ADPI (American Dairy Products Institute),false,false,false,false,true,1,2017-09-21T20:00:53.065618
3384,6,Partners User Group,false,false,false,false,true,1,2017-10-04T16:39:34.102830
1239,1,Hidden Manna Cafe,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1850,8,Sage Dining | Scheck Hillel Community School,false,false,true,false,true,1,2017-10-30T15:08:36.114505
1866,7,Compass | Morrison | Baptist Memorial,false,false,false,false,true,1,2017-09-21T20:00:53.065618
817,9,Aramark | Phoenix OCS,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2526,1,Sodexo | AJ Gallagher,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3044,5,Macy's | Distribution Center Houston | PFC,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1219,9,DO NOT USE Dinner Lab,true,false,false,false,true,1,2017-09-21T20:00:53.065618
1255,6,"Three Floyds Brewing, LLC",false,false,false,false,true,1,2018-04-23T13:03:56.820451
519,1,Food For Thought : Rosalind Franklin University,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3142,16,Starr Events | Philadelphia,false,false,false,false,true,1,2017-10-31T10:54:58.346651
308,1,Cathy Adduci,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2746,10,Compass | Chartwells | Ringling College of Art & Design,false,false,false,false,true,1,2017-09-21T20:00:53.065618
100,1,Private Residence - Communion Party,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3443,16,Avendra | Westover Golf Club,false,false,false,false,true,1,2017-10-26T13:00:20.726043
98,1,Froggy's Catering,false,false,false,false,true,1,2017-09-21T20:00:53.065618
142,1,Sodexo | District 59,false,false,false,false,false,1,2017-09-21T20:00:53.065618
3765,19,Keeneland,false,true,false,false,true,3,2018-04-17T13:38:41.914757
199,1,Rotary Club of Evanston,false,false,false,false,true,1,2017-09-21T20:00:53.065618
394,1,Legends-Hollywood Casino Amphitheater,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3594,2,Bonnie Briar Country Club,false,false,false,false,true,1,2017-11-21T16:37:43.433429
1225,1,Aramark | Plainfield School District #202,false,false,false,false,true,1,2017-09-21T20:00:53.065618
1070,10,Do Not Use-Canteen Dining,true,false,false,false,true,1,2017-09-21T20:00:53.065618
570,1,Compass : Restaurant Associates (Master Account Do Not Use),true,false,false,false,true,1,2017-09-21T20:00:53.065618
1243,7,Sage Dining- Christian Brothers High School,false,false,false,false,true,1,2017-09-21T20:00:53.065618
355,1,Avendra | Hard Rock Hotel | Banquets,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2423,7,Do Not Use-Tanocha Thedford,true,false,false,false,true,1,2017-09-21T20:00:53.065618
3350,2,Avendra | Marriott Vacation Club Pulse NYC | Back of House,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2499,4,E-Poster Boards | GA,false,false,false,false,true,1,2017-09-21T20:00:53.065618
569,1,State Farm (Master Account Do Not Use),true,false,false,false,true,1,2017-09-21T20:00:53.065618
1791,1,Do Not Use- AFR Event & Trade Show Furnishings | Chicago,true,false,false,false,true,1,2017-09-21T20:00:53.065618
362,2,Compass | Lackmann | Geico,false,false,false,false,true,1,2017-09-21T20:00:53.065618
